Name,picture_link,Wikipedia_Link,division,rating,bouts,rounds,KOs,Career,Debut,vada,titles,ID,Birth Name,sex,Alias,Age,Nationality,Stance,Height,Reach,Residence,Birth Place,Win,Lose,Draw
Alberto Puello,https://boxrec.com/images/thumb/2/29/Alberto_Puello.jpeg/200px-Alberto_Puello.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3078084,super light,5.0,22,152,45.45%,2015-2023,2015-03-07,,,713680,Alberto Puello Calderón,male,La Avispa,29,Dominican Republic,southpaw,5′ 9″   /   175cm,71″   /   180cm,"Las Vegas, Nevada, USA","San Juan de la Maguana, Dominican Republic",22,0,0
Andres Cortes,https://boxrec.com/images/thumb/9/9f/AndresCortes.jpg/200px-AndresCortes.jpg,https://boxrec.com/wiki/index.php?title=Fight:3090130,super feather,5.0,20,98,55%,2016-2023,2016-02-04,,,746707,,male,,26,USA,orthodox,5′ 7″   /   170cm,65″   /   165cm,"Las Vegas, Nevada, USA","North Las Vegas, Nevada, USA",20,0,0
Albert Batyrgaziev,https://boxrec.com/images/thumb/6/65/856316b.jpeg/200px-856316b.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3026906,light,5.0,10,74,70%,2020-2023,2020-07-03,,,856316,Альберт Ханбулатович Батыргазиев,male,AL BA,25,Russia,southpaw,5′ 5½″   /   167cm,,"Nizhnevartovsk, Russia","Babayurt, Russia",10,0,0
Maxi Hughes,https://boxrec.com/images/thumb/5/59/MaxiHughesBoxrec.jpg/200px-MaxiHughesBoxrec.jpg,https://boxrec.com/wiki/index.php?title=Fight:3115168,light,5.0,34,243,19.23%,2010-2023,2010-09-17,,,543029,Daniel Hughes,male,'Maximus',33,United Kingdom,southpaw,,,"Rossington, Yorkshire, United Kingdom",,26,6,2
Toshiki Shimomachi,https://boxrec.com/images/thumb/c/c4/Toshiki_Shimomachi.JPG/200px-Toshiki_Shimomachi.JPG,https://boxrec.com/wiki/index.php?title=Fight:3024094,super bantam,5.0,21,110,64.71%,2015-2023,2015-12-05,,,740239,下町俊貴,male,,27,Japan,southpaw,5′ 10½″   /   179cm,68½″   /   174cm,"Osaka, Osaka, Japan","Neyagawa, Osaka, Japan",17,1,3
Denys Berinchyk,https://boxrec.com/images/thumb/7/78/Denys_Berinchyk.JPG/200px-Denys_Berinchyk.JPG,https://boxrec.com/wiki/index.php?title=Fight:3009185,light,5.0,18,142,50%,2015-2023,2015-08-29,,,727039,Денис Юрiйович Берiнчик,male,,35,Ukraine,orthodox,5′ 7″   /   170cm,,"Kiev, Ukraine","Krasnodon, Ukraine",18,0,0
Callum Smith,https://boxrec.com/images/thumb/e/eb/Callum_Smith_2023.jpeg/200px-Callum_Smith_2023.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2713222,light heavy,5.0,31,159,72.41%,2012-2024,2012-11-17,,,631178,Callum John Smith,male,'Mundo',33,United Kingdom,orthodox,6′ 3″   /   191cm,78″   /   198cm,"Liverpool, Merseyside, United Kingdom","Liverpool, Merseyside, United Kingdom",29,2,0
Elvis Rodriguez,https://boxrec.com/images/thumb/6/64/Elvis_Rodriguez_2020.jpg/200px-Elvis_Rodriguez_2020.jpg,https://boxrec.com/wiki/index.php?title=Fight:2993416,super light,5.0,17,74,86.67%,2018-2023,2018-11-09,,,852433,Elvis Severino Rodriguez Mendoza,male,The Dominican Kid,28,Dominican Republic,southpaw,5′ 10″   /   178cm,71″   /   180cm,"Santo Domingo, Dominican Republic","Santo Domingo, Dominican Republic",15,1,1
Vergil Ortiz Jr,https://boxrec.com/images/thumb/2/25/Vergil_Ortiz.jpg/200px-Vergil_Ortiz.jpg,https://boxrec.com/wiki/index.php?title=Fight:3065510,super welter,5.0,20,70,100%,2016-2024,2016-07-30,,WBA Gold World Welter,766727,,male,,25,USA,orthodox,5′ 10″   /   178cm,70″   /   178cm,"Grand Prairie, Texas, USA","Dallas, Texas, USA",20,0,0
Kiko Martinez,https://boxrec.com/images/thumb/f/f5/KikoMartinez1.jpg/200px-KikoMartinez1.jpg,https://boxrec.com/wiki/index.php?title=Fight:2940794,feather,5.0,58,349,70.45%,2004-2023,2004-06-11,,,258662,Francisco Martínez Sánchez,male,La Sensacion,37,Spain,orthodox,5′ 5″   /   165cm,66″   /   168cm,"Alicante, Comunidad Valenciana, Spain","Elche, Comunidad Valenciana, Spain",44,12,2
Victor Morales,https://boxrec.com/images/thumb/f/f8/769368.jpeg/200px-769368.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3009511,feather,5.0,20,110,47.37%,2016-2023,2016-08-27,,,769368,Victor Dean Morales Jr,male,,26,USA,orthodox,5′ 7″   /   170cm,,"Vancouver, Washington, USA",USA,19,0,1
Ryosuke Nishida,https://boxrec.com/images/thumb/2/27/Ryosuke_Nishida.jpg/200px-Ryosuke_Nishida.jpg,https://boxrec.com/wiki/index.php?title=Fight:2999587,bantam,5.0,8,73,12.5%,2019-2023,2019-10-03,,,898844,西田凌佑,male,,27,Japan,southpaw,5′ 7″   /   170cm,68″   /   173cm,"Osaka, Osaka, Japan","Kashiba, Nara, Japan",8,0,0
Brandun Lee,https://boxrec.com/images/thumb/7/70/Brandun_Lee.jpeg/200px-Brandun_Lee.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2947183,super light,5.0,28,83,82.14%,2017-2023,2017-01-28,,,784150,,male,,24,USA,orthodox,5′ 10″   /   178cm,71″   /   180cm,"La Quinta, California, USA","Yuba City, California, USA",28,0,0
Zhanibek Alimkhanuly,https://boxrec.com/images/thumb/0/06/ZhanibekAlimkhanuly1.jpeg/200px-ZhanibekAlimkhanuly1.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3032433,middle,5.0,15,87,66.67%,2016-2023,2016-10-29,,IBF World Middle,774417,,male,Qazaq Style,30,Kazakhstan,southpaw,5′ 11½″   /   182cm,71½″   /   182cm,"Oxnard, California, USA","Zhilandy, Kazakhstan",15,0,0
Lerato Dlamini,https://boxrec.com/images/thumb/d/d6/Dlamini.jpg/200px-Dlamini.jpg,https://boxrec.com/wiki/index.php?title=Fight:3114058,feather,5.0,22,135,55%,2015-2023,2015-07-24,,,731506,,male,Lights Out,29,South Africa,orthodox,5′ 5″   /   165cm,,"Linksfield, Gauteng, South Africa","Free State, South Africa",20,2,0
Caleb Plant,https://boxrec.com/images/thumb/f/fe/684493.jpg/200px-684493.jpg,https://boxrec.com/wiki/index.php?title=Fight:2941948,super middle,5.0,24,154,59.09%,2014-2023,2014-05-10,,,684493,Caleb Hunter Plant,male,Sweethands,31,USA,orthodox,6′ 1″   /   185cm,74″   /   188cm,"Las Vegas, Nevada, USA","Nashville, Tennessee, USA",22,2,0
Steve Spark,https://boxrec.com/images/thumb/6/62/Steve_Spark.jpeg/200px-Steve_Spark.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2961663,welter,5.0,19,76,87.5%,2014-2023,2014-10-31,,,693603,,male,The Viking,27,Australia,orthodox,,,"Toowoomba, Queensland, Australia","Queensland, Australia",16,3,0
Jai Opetaia,https://boxrec.com/images/thumb/7/7a/Jai_Opetaia.jpg/200px-Jai_Opetaia.jpg,https://boxrec.com/wiki/index.php?title=Fight:3108642,cruiser,5.0,24,102,79.17%,2015-2023,2015-08-01,,,719823,,male,,28,Australia,southpaw,6′ 2″   /   188cm,76″   /   193cm,"Sydney, New South Wales, Australia","Sydney, New South Wales, Australia",24,0,0
Vincent Astrolabio,https://boxrec.com/images/thumb/8/88/725879.jpg/200px-725879.jpg,https://boxrec.com/wiki/index.php?title=Fight:3008948,bantam,5.0,23,141,73.68%,2015-2023,2015-08-14,,,725879,Vincent Diazen Astrolabio,male,Asero,26,Philippines,orthodox,5′ 5″   /   165cm,65½″   /   166cm,"Las Vegas, Nevada, USA","General Santos City, Cotabato del Sur, Philippines",19,4,0
Fadhili Majiha,https://boxrec.com/images/thumb/5/50/467865.jpg/200px-467865.jpg,https://boxrec.com/wiki/index.php?title=Fight:3038953,bantam,5.0,50,317,46.88%,2008-2023,2008-05-24,,,467865,Fadhili Omari Majiha,male,,30,Tanzania,orthodox,5′ 3½″   /   161cm,64″   /   162cm,"Dar-Es-Salaam, Tanzania","Dar-Es-Salaam, Tanzania",32,14,4
Zhora Hamazaryan,https://boxrec.com/images/thumb/7/7f/Zhora_Hamazaryan.jpg/200px-Zhora_Hamazaryan.jpg,https://boxrec.com/wiki/index.php?title=Fight:2953826,super feather,5.0,19,111,64.29%,2015-2023,2015-09-19,,,731857,Жора Робертович Амазарян,male,,27,Armenia,orthodox,5′ 7″   /   170cm,67″   /   170cm,"Los Angeles, California, USA","Gyumri, Armenia",14,3,2
Daniel Dubois,https://boxrec.com/images/thumb/f/f8/DanielDuboisBoxrec.jpg/200px-DanielDuboisBoxrec.jpg,https://boxrec.com/wiki/index.php?title=Fight:3075035,heavy,5.0,22,82,95%,2017-2023,2017-04-08,,,787430,,male,'Dynamite',26,United Kingdom,orthodox,6′ 5″   /   196cm,78″   /   198cm,"Greenwich, London, United Kingdom","Greenwich, London, United Kingdom",20,2,0
Mark Magsayo,https://boxrec.com/images/thumb/9/9d/MarkMagsayoBoxrec.jpeg/200px-MarkMagsayoBoxrec.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3078263,super feather,5.0,27,158,68%,2013-2023,2013-05-25,,,653034,Jessel Mark Araula Magsayo,male,Magnifico,28,Philippines,orthodox,5′ 6″   /   168cm,68″   /   173cm,"Valencia, California, USA","Tagbilaran City, Bohol, Philippines",25,2,0
Jack Catterall,https://boxrec.com/images/thumb/4/4d/JackCatterall12.jpg/200px-JackCatterall12.jpg,https://boxrec.com/wiki/index.php?title=Fight:3015828,super light,5.0,29,194,46.43%,2012-2023,2012-09-22,,,623843,,male,'El Gato',30,United Kingdom,southpaw,5′ 7″   /   170cm,69″   /   175cm,"Chorley, Lancashire, United Kingdom","Chorley, Lancashire, United Kingdom",28,1,0
Jose Tito Sanchez,https://boxrec.com/images/thumb/1/1d/832471_2022.jpg/200px-832471_2022.jpg,https://boxrec.com/wiki/index.php?title=Fight:3066169,super bantam,5.0,12,50,58.33%,2018-2023,2018-06-02,,,832471,Jose Juan Sanchez,male,,24,USA,orthodox,5′ 5″   /   165cm,,"Cathedral City, California, USA","Rancho Mirage, California, USA",12,0,0
Andrew Moloney,https://boxrec.com/images/thumb/c/c0/Andrew-moloney-boxrec.jpg/200px-Andrew-moloney-boxrec.jpg,https://boxrec.com/wiki/index.php?title=Fight:3064802,super fly,5.0,30,196,61.54%,2014-2023,2014-10-31,,WBO Global Super Fly,698248,Andrew John Moloney,male,,33,Australia,orthodox,5′ 5″   /   165cm,65″   /   165cm,"Kingscliff, New South Wales, Australia","Mitcham, Victoria, Australia",26,3,0
Hector Luis Garcia,https://boxrec.com/images/thumb/0/0e/783383a.jpg/200px-783383a.jpg,https://boxrec.com/wiki/index.php?title=Fight:3066960,super feather,5.0,21,112,62.5%,2016-2023,2016-12-16,,,783383,Hector Luis García Mora,male,El Androide,32,Dominican Republic,southpaw,5′ 9″   /   175cm,67″   /   170cm,"Las Vegas, Nevada, USA","San Juan de la Maguana, Dominican Republic",16,2,0
Ernesto Mercado,https://boxrec.com/images/thumb/b/b5/872402.jpeg/200px-872402.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3109958,super light,5.0,13,37,92.31%,2021-2023,2021-07-31,,,872402,Ernesto De Jesus Mercado,male,Tito,22,USA,orthodox,5′ 10″   /   178cm,,"Pomona, California, USA","Upland, California, USA",13,0,0
Slawa Spomer,https://boxrec.com/images/thumb/4/4a/835962.jpg/200px-835962.jpg,https://boxrec.com/wiki/index.php?title=Fight:3014258,super welter,5.0,19,116,52.63%,2018-2023,2018-05-12,,WBO Global Super Welter,835962,Vjaceslav Spomer,male,,31,Germany,,5′ 10″   /   178cm,,"Heilbronn, Baden-Württemberg, Germany",,19,0,0
Nonito Donaire,https://boxrec.com/images/thumb/c/c8/048243.jpg/200px-048243.jpg,https://boxrec.com/wiki/index.php?title=Fight:3011167,bantam,5.0,50,311,66.67%,2001-2023,2001-02-22,,,048243,Nonito Gonzales Donaire Jr.,male,The Filipino Flash,41,Philippines,orthodox,5′ 7″   /   170cm,68½″   /   174cm,"Las Vegas, Nevada, USA","Talibon, Bohol, Philippines",42,8,0
Thomas Mattice,https://boxrec.com/images/thumb/7/7b/697583.jpeg/200px-697583.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3064456,super feather,5.0,26,144,77.27%,2014-2023,2014-09-05,,,697583,,male,Gunna Man,33,USA,orthodox,5′ 9″   /   175cm,73″   /   185cm,"Cleveland, Ohio, USA","Cleveland, Ohio, USA",22,3,1
Sergey Lipinets,https://boxrec.com/images/thumb/4/46/Sergeylipinets1.jpg/200px-Sergeylipinets1.jpg,https://boxrec.com/wiki/index.php?title=Fight:3061659,super light,5.0,21,159,76.47%,2014-2023,2014-04-25,,,684792,Сергей Алексеевич Липинец,male,Samurai,34,Kazakhstan,orthodox,5′ 7″   /   170cm,67″   /   170cm,"Woodland Hills, California, USA","Martuk, Kazakhstan",17,3,1
Ramon Cardenas,https://boxrec.com/images/thumb/6/65/RamonCardenas.JPG/200px-RamonCardenas.JPG,https://boxrec.com/wiki/index.php?title=Fight:3110654,super bantam,5.0,24,110,52.17%,2015-2023,2015-07-25,,,726502,,male,Dinamita,28,USA,orthodox,5′ 5″   /   165cm,,"San Antonio, Texas, USA","San Antonio, Texas, USA",23,1,0
Michael Magnesi,https://boxrec.com/images/thumb/e/e3/732196.jpeg/200px-732196.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3101835,super feather,5.0,24,137,56.52%,2015-2023,2015-10-10,,,732196,,male,Lone Wolf,29,Italy,orthodox,5′ 6″   /   168cm,,"Cave, Lazio, Italy","Palestrina, Lazio, Italy",23,1,0
Shuma Nakazato,https://boxrec.com/images/thumb/4/48/Shuma_Nakazato.jpg/200px-Shuma_Nakazato.jpg,https://boxrec.com/wiki/index.php?title=Fight:3114770,light,5.0,19,92,57.14%,2015-2023,2015-04-05,,,716694,仲里周磨,male,,27,Japan,orthodox,5′ 8″   /   173cm,66″   /   168cm,"Ginowan, Okinawa, Japan","Ginowan, Okinawa, Japan",14,2,3
Carlos Adames,https://boxrec.com/images/thumb/4/43/Cadames.jpg/200px-Cadames.jpg,https://boxrec.com/wiki/index.php?title=Fight:2947189,middle,5.0,24,115,78.26%,2015-2023,2015-07-24,,WBC Interim World Middle,723287,,male,,29,Dominican Republic,orthodox,5′ 11″   /   180cm,73″   /   185cm,"Washington Heights, New York, USA","Comendador, Dominican Republic",23,1,0
Elijah Pierce,https://boxrec.com/images/thumb/5/5e/768225.jpeg/200px-768225.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2978061,super bantam,5.0,20,79,83.33%,2016-2023,2016-07-23,,,768225,,male,,27,USA,southpaw,5′ 8″   /   173cm,,"Midwest City, Oklahoma, USA","Oklahoma City, Oklahoma, USA",18,2,0
Mark Urvanov,https://boxrec.com/images/thumb/6/67/Mark_Urvanov.jpeg/200px-Mark_Urvanov.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2999553,super feather,5.0,28,203,43.48%,2015-2023,2015-04-24,,,718443,Марк Дмитриевич Урванов,male,Canelo,27,Russia,orthodox,5′ 7″   /   170cm,,"Pervouralsk, Russia","Pervouralsk, Russia",23,3,2
Murad Aliev,https://boxrec.com/images/thumb/d/d9/714165.jpeg/200px-714165.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3053334,super feather,5.0,9,61,28.57%,2015-2023,2015-04-25,,,714165,Мурад Атомоглан Оглы Алиев,male,,29,Russia,orthodox,5′ 6″   /   168cm,,"Tsimlyansk, Russia","Volgodonsk, Russia",7,0,2
Michel Soro,https://boxrec.com/images/thumb/9/94/SoroMichel11.jpg/200px-SoroMichel11.jpg,https://boxrec.com/wiki/index.php?title=Fight:2953824,super welter,5.0,41,243,68.57%,2008-2023,2008-10-02,,,469744,Michel Abou Lessonguy Soro,male,,36,France,orthodox,5′ 10½″   /   179cm,70″   /   178cm,"Villeurbanne, Rhône, France","Abidjan, Côte D’Ivoire",35,4,2
Gary Antuanne Russell,https://boxrec.com/images/thumb/0/03/789597.jpeg/200px-789597.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3007262,super light,5.0,17,46,100%,2017-2023,2017-05-20,,,789597,,male,,27,USA,southpaw,5′ 10″   /   178cm,69″   /   175cm,"Capitol Heights, Maryland, USA","Capitol Heights, Maryland, USA",17,0,0
Steve Claggett,https://boxrec.com/images/thumb/1/1c/SteveClaggett_profile.jpeg/200px-SteveClaggett_profile.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3107478,super light,5.0,47,276,68.42%,2008-2024,2008-09-12,,,469170,Stephen James Claggett,male,,34,Canada,orthodox,5′ 8″   /   173cm,70″   /   178cm,"Calgary, Alberta, Canada","Calgary, Alberta, Canada",38,7,2
Jamel Herring,https://boxrec.com/images/thumb/b/bd/Jamel_Herring_2021.JPG/200px-Jamel_Herring_2021.JPG,https://boxrec.com/wiki/index.php?title=Fight:3032400,super feather,5.0,28,173,50%,2012-2023,2012-12-08,,,634455,Jamel William Herring,male,Semper Fi,38,USA,southpaw,5′ 10″   /   178cm,72″   /   183cm,"Cincinnati, Ohio, USA","Coram, New York, USA",24,4,0
James Metcalf,https://boxrec.com/images/thumb/c/cb/589417.jpg/200px-589417.jpg,https://boxrec.com/wiki/index.php?title=Fight:2952432,super welter,5.0,27,155,60%,2011-2023,2011-12-03,,IBO World Super Welter,589417,,male,'Kid Shamrock',35,United Kingdom,orthodox,5′ 9″   /   175cm,,"Liverpool, Merseyside, United Kingdom","Liverpool, Merseyside, United Kingdom",25,2,0
Demetrius Andrade,https://boxrec.com/images/thumb/b/bc/Demetrius_Andrade_2019.JPG/200px-Demetrius_Andrade_2019.JPG,https://boxrec.com/wiki/index.php?title=Fight:3053483,super middle,5.0,33,206,59.38%,2008-2023,2008-10-23,,,468433,,male,Boo Boo,35,USA,southpaw,6′ 0″   /   183cm,73½″   /   187cm,"Providence, Rhode Island, USA","Providence, Rhode Island, USA",32,1,0
Ohara Davies,https://boxrec.com/images/thumb/5/55/680284OD.jpeg/200px-680284OD.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3087893,super light,5.0,28,144,72%,2014-2024,2014-04-19,,,680284,,male,'Two Tanks',31,United Kingdom,orthodox,5′ 8″   /   173cm,,"Hackney, London, United Kingdom","Hackney, London, United Kingdom",25,3,0
Shakhram Giyasov,https://boxrec.com/images/thumb/0/00/Shakhram_giyasov.jpg/200px-Shakhram_giyasov.jpg,https://boxrec.com/wiki/index.php?title=Fight:3101952,welter,5.0,14,70,64.29%,2018-2023,2018-03-10,,,828413,Shaxram Djamshedovich Giyasov,male,Wonder Boy,30,Uzbekistan,,5′ 9½″   /   176cm,,"Brooklyn, New York, USA","Bukhara, Uzbekistan",14,0,0
Badou Jack,https://boxrec.com/images/thumb/3/33/Badou_Jack12345.JPG/200px-Badou_Jack12345.JPG,https://boxrec.com/wiki/index.php?title=Fight:2941569,cruiser,5.0,34,220,60.71%,2009-2023,2009-06-06,,,497268,Badou Johannes Gabriel Jack,male,The Ripper,40,Sweden,orthodox,6′ 1″   /   185cm,73″   /   185cm,"Dubai, United Arab Emirates","Stockholm, Sweden",28,3,3
Charly Suarez,https://boxrec.com/images/thumb/9/98/Charly_Suarez.jpg/200px-Charly_Suarez.jpg,https://boxrec.com/wiki/index.php?title=Fight:3009313,super feather,5.0,16,112,56.25%,2019-2023,2019-01-16,,,851286,Charly Coronel Suarez,male,King's Warrior,35,Philippines,orthodox,5′ 5½″   /   167cm,,"Manila, Metro Manila, Philippines","San Isidro, Davao del Norte, Philippines",16,0,0
Anthony Olascuaga,https://boxrec.com/images/thumb/3/3c/904246.jpeg/200px-904246.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3008194,fly,5.0,7,39,66.67%,2020-2023,2020-09-04,,,904246,,male,Princesa,25,USA,orthodox,5′ 4″   /   163cm,,"Los Angeles, California, USA","Los Angeles, California, USA",6,1,0
Bilal Berkoun,https://boxrec.com/images/thumb/5/5d/1097481.jpeg/200px-1097481.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3066439,super welter,5.0,1,2,100%,2023-2023,2023-09-30,,,1097481,,male,,23,United Kingdom,,,,"London, United Kingdom",,1,0,0
Kenta Nakagawa,https://boxrec.com/images/thumb/a/a1/286469.jpg/200px-286469.jpg,https://boxrec.com/wiki/index.php?title=Fight:2976839,super fly,5.0,29,173,50%,2004-2023,2004-12-06,,,286469,中川健太,male,,38,Japan,southpaw,5′ 5½″   /   166cm,,"Tokyo, Japan","Tokyo, Japan",24,4,1
David Morrell,https://boxrec.com/images/thumb/e/e3/85245Morrell.jpg/200px-85245Morrell.jpg,https://boxrec.com/wiki/index.php?title=Fight:3078080,super middle,5.0,10,42,90%,2019-2023,2019-08-31,,WBA World Super Middle,852450,Osvary David Morrell Gutierrez Jr,male,Osvary Morrell,26,Cuba,southpaw,6′ 1″   /   185cm,78½″   /   199cm,"Minneapolis, Minnesota, USA","Santa Clara, Cuba",10,0,0
Jordan Gill,https://boxrec.com/images/thumb/c/c2/Jordan_Gill_2023.jpg/200px-Jordan_Gill_2023.jpg,https://boxrec.com/wiki/index.php?title=Fight:3113138,super feather,5.0,31,159,32.14%,2012-2023,2012-07-07,,,619123,,male,'The Thrill',29,United Kingdom,orthodox,5′ 7″   /   170cm,,"Chatteris, Cambridgeshire, United Kingdom","Huntingdon, Cambridgeshire, United Kingdom",28,2,1
Gustavo Daniel Lemos,https://boxrec.com/images/thumb/5/5a/757295.jpg/200px-757295.jpg,https://boxrec.com/wiki/index.php?title=Fight:3113140,super light,5.0,29,130,65.52%,2016-2023,2016-05-07,,,757295,,male,El Electrico,27,Argentina,orthodox,5′ 5½″   /   167cm,,"Tres Arroyos, Buenos Aires, Argentina","Tres Arroyos, Buenos Aires, Argentina",29,0,0
Batyrzhan Jukembayev,https://boxrec.com/images/thumb/5/5b/Batyr_Jukembayev.jpg/200px-Batyr_Jukembayev.jpg,https://boxrec.com/wiki/index.php?title=Fight:3068276,super light,5.0,25,114,72.73%,2015-2023,2015-09-19,,,729904,Батыржан Джаксыбаевич Джукембаев,male,777,32,Kazakhstan,southpaw,5′ 7″   /   170cm,66″   /   168cm,"Montreal, Quebec, Canada","Shu, Kazakhstan",22,1,0
Oscar Valdez,https://boxrec.com/images/thumb/c/c2/OscarValdez12.jpg/200px-OscarValdez12.jpg,https://boxrec.com/wiki/index.php?title=Fight:3117048,super feather,5.0,33,214,74.19%,2012-2023,2012-11-03,,,629933,Óscar Rafael Valdez Fierro,male,,33,Mexico,orthodox,5′ 5½″   /   166cm,66″   /   168cm,"Nogales, Sonora, Mexico","Nogales, Sonora, Mexico",31,2,0
Israel Rodriguez Picazo,https://boxrec.com/images/thumb/6/6e/735632.jpeg/200px-735632.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3110654,super bantam,5.0,35,167,66.67%,2015-2023,2015-09-05,,,735632,Israel Rodriguez Picazo,male,,25,Mexico,orthodox,5′ 6″   /   168cm,,"Mexico City, Distrito Federal, Mexico","Tlaxcala, Tlaxcala, Mexico",30,5,0
Cristofer Rosales,https://boxrec.com/images/thumb/7/75/CristoferRosales2.jpg/200px-CristoferRosales2.jpg,https://boxrec.com/wiki/index.php?title=Fight:3025898,fly,5.0,42,266,61.11%,2013-2023,2013-05-25,,,652156,Cristofer Jordan Rosales González,male,El Latigo,29,Nicaragua,orthodox,5′ 6″   /   168cm,71″   /   180cm,"Managua, Nicaragua","Managua, Nicaragua",36,6,0
Alexis Rocha,https://boxrec.com/images/thumb/7/70/746813.jpg/200px-746813.jpg,https://boxrec.com/wiki/index.php?title=Fight:3033647,welter,5.0,25,140,65.22%,2016-2023,2016-03-04,,,746813,,male,Lex,26,USA,southpaw,5′ 10″   /   178cm,70″   /   178cm,"Irvine, California, USA","Santa Ana, California, USA",23,2,0
Israil Madrimov,https://boxrec.com/images/thumb/1/1a/Israilboxrec.jpg/200px-Israilboxrec.jpg,https://boxrec.com/wiki/index.php?title=Fight:2954063,super welter,5.0,10,69,66.67%,2018-2023,2018-11-24,,,851173,,male,The Dream,28,Uzbekistan,orthodox,5′ 8½″   /   174cm,68½″   /   174cm,"Indio, California, USA","Khiva, Uzbekistan",9,0,1
Daigo Higa,https://boxrec.com/images/thumb/c/c9/Higa_Daigo.jpg/200px-Higa_Daigo.jpg,https://boxrec.com/wiki/index.php?title=Fight:3077385,bantam,5.0,24,124,90.48%,2014-2023,2014-06-17,,,691593,比嘉大吾,male,,28,Japan,orthodox,5′ 4″   /   163cm,64″   /   163cm,"Tokyo, Japan","Urasoe, Okinawa, Japan",21,2,1
Angelo Leo,https://boxrec.com/images/thumb/2/2f/ANGELO_EL_CHINITO_LEO.jpg/200px-ANGELO_EL_CHINITO_LEO.jpg,https://boxrec.com/wiki/index.php?title=Fight:3101287,feather,5.0,24,145,47.83%,2012-2024,2012-11-17,,,632458,Angel Miguel Leo,male,El Chinito,29,USA,orthodox,5′ 6″   /   168cm,69″   /   175cm,"Las Vegas, Nevada, USA","Albuquerque, New Mexico, USA",23,1,0
Seiya Tsutsumi,https://boxrec.com/images/thumb/d/df/Seiya_Tsutsumi.jpeg/200px-Seiya_Tsutsumi.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3037764,bantam,5.0,12,74,70%,2018-2023,2018-03-27,,,829718,堤聖也,male,,28,Japan,orthodox,5′ 5½″   /   166cm,64½″   /   164cm,"Tokyo, Japan","Kumamoto, Kumamoto, Japan",10,0,2
Norair Mikaeljan,https://boxrec.com/images/thumb/6/66/571652.jpeg/200px-571652.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3043230,cruiser,5.0,29,197,44.44%,2011-2023,2011-05-27,,WBC World Cruiser,571652,Norair Mikaeljan,male,Noel Gevor Mikaelyan,33,Armenia,orthodox,6′ 3½″   /   192cm,75″   /   191cm,"Miami, Florida, USA","Yerevan, Armenia",27,2,0
Juan Javier Carrasco,https://boxrec.com/images/thumb/8/8f/Juan-Carrasco.jpg/200px-Juan-Carrasco.jpg,https://boxrec.com/wiki/index.php?title=Fight:3076749,light,5.0,21,106,60%,2016-2023,2016-10-15,,,775952,,male,Titan,31,Argentina,orthodox,5′ 7½″   /   172cm,67½″   /   172cm,"Ciudad Mendoza, Mendoza, Argentina","Ciudad Mendoza, Mendoza, Argentina",20,1,0
Liam Davies,https://boxrec.com/images/thumb/d/da/859643.jpg/200px-859643.jpg,https://boxrec.com/wiki/index.php?title=Fight:3110189,super bantam,5.0,15,78,46.67%,2018-2023,2018-12-09,,,859643,,male,,27,United Kingdom,orthodox,,,"Donnington, Telford, Shropshire, United Kingdom",,15,0,0
Jose Valenzuela,https://boxrec.com/images/thumb/1/16/847406.jpeg/200px-847406.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3078081,light,5.0,15,61,69.23%,2018-2023,2018-09-22,,,847406,Jose A Valenzuela Gastelum,male,Rayo,24,USA,southpaw,5′ 10″   /   178cm,70″   /   178cm,"Renton, Washington, USA","Los Mochis, Sinaloa, Mexico",13,2,0
Yamato Hata,https://boxrec.com/images/thumb/c/c4/Yamato_Hata.JPG/200px-Yamato_Hata.JPG,https://boxrec.com/wiki/index.php?title=Fight:3044014,super feather,5.0,16,70,92.86%,2015-2023,2015-10-03,,,731145,波田大和,male,,27,Japan,southpaw,5′ 7½″   /   171cm,,"Tokyo, Japan","Soka, Saitama, Japan",14,2,0
