Name,picture_link,Wikipedia_Link,division,rating,bouts,rounds,KOs,Career,Debut,vada,titles,ID,Birth Name,sex,Alias,Age,Nationality,Stance,Height,Reach,Residence,Birth Place,Win,Lose,Draw
Oscar Collazo,https://boxrec.com/images/thumb/2/2f/919293.jpg/200px-919293.jpg,https://boxrec.com/wiki/index.php?title=Fight:3102450,minimum,5.0,9,47,77.78%,2020-2024,2020-02-15,,WBO World Minimum,919293,Oscar Manuel Collazo,male,El Pupilo,27,USA,southpaw,5′ 2″   /   157cm,61″   /   155cm,"Villalba, Puerto Rico","Newark, New Jersey, USA",9,0,0
Ra'eese Aleem,https://boxrec.com/images/thumb/e/e7/580441_2024.jpg/200px-580441_2024.jpg,https://boxrec.com/wiki/index.php?title=Fight:2974440,super bantam,5.0,21,114,60%,2011-2023,2011-09-10,,,580441,Raeese Kaleem Aleem,male,The Beast,33,USA,orthodox,5′ 6″   /   168cm,68½″   /   174cm,"Las Vegas, Nevada, USA","Muskegon, Michigan, USA",20,1,0
Chris Billam-Smith,https://boxrec.com/images/thumb/6/6c/811275.jpeg/200px-811275.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3061491,cruiser,5.0,20,128,68.42%,2017-2023,2017-09-16,,WBO World Cruiser,811275,,male,'The Gentleman',33,United Kingdom,orthodox,6′ 3″   /   191cm,,"Bournemouth, Dorset, United Kingdom","Epsom, Surrey, United Kingdom",19,1,0
Kosei Tanaka,https://boxrec.com/images/thumb/9/9a/666339.jpeg/200px-666339.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3091540,super fly,5.0,20,161,57.89%,2013-2023,2013-11-10,,,666339,田中恒成,male,,28,Japan,orthodox,5′ 4½″   /   164cm,64½″   /   164cm,"Nagoya, Aichi, Japan","Tajimi, Gifu, Japan",19,1,0
Artem Dalakian,https://boxrec.com/images/thumb/d/da/577951_2024.jpg/200px-577951_2024.jpg,https://boxrec.com/wiki/index.php?title=Fight:3091537,fly,5.0,23,156,68.18%,2011-2024,2011-08-26,,,577951,,male,,36,Ukraine,orthodox,5′ 4½″   /   164cm,64½″   /   164cm,"Kiev, Ukraine","Baku, Azerbaijan",22,1,0
Elnur Samedov,https://boxrec.com/images/thumb/a/af/768681.jpg/200px-768681.jpg,https://boxrec.com/wiki/index.php?title=Fight:3066049,super feather,5.0,19,125,44.44%,2016-2023,2016-08-19,,,768681,Элнур Мамед Оглы Самедов,male,,30,Russia,southpaw,5′ 5″   /   165cm,,"Noyabrsk, Russia","Sahagac, Azerbaijan",18,1,0
Lamont Roach,https://boxrec.com/images/thumb/5/5c/Lamont_Roach.jpg/200px-Lamont_Roach.jpg,https://boxrec.com/wiki/index.php?title=Fight:3066960,super feather,5.0,26,164,37.5%,2014-2023,2014-04-19,,WBA World Super Feather,683920,Lamont Roach Jr,male,,28,USA,orthodox,5′ 7″   /   170cm,68″   /   173cm,"Upper Marlboro, Maryland, USA","Washington, District of Columbia, USA",24,1,1
Jermall Charlo,https://boxrec.com/images/thumb/8/8e/471634_2022.jpg/200px-471634_2022.jpg,https://boxrec.com/wiki/index.php?title=Fight:3059685,middle,5.0,33,181,66.67%,2008-2023,2008-09-12,,WBC World Middle,471634,Jermall Deandre Charlo,male,Hit Man,33,USA,orthodox,6′ 1″   /   185cm,73½″   /   187cm,"Houston, Texas, USA","Richmond, Texas, USA",33,0,0
Masanori Rikiishi,https://boxrec.com/images/thumb/e/e3/806436.jpeg/200px-806436.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3101835,super feather,5.0,15,78,64.29%,2017-2023,2017-07-16,,,806436,佐藤政法,male,,29,Japan,southpaw,5′ 10″   /   178cm,,"Nagoya, Aichi, Japan","Suzuka, Mie, Japan",14,1,0
Robson Conceicao,https://boxrec.com/images/thumb/f/fa/Robson_Donato_Conceicao.jpg/200px-Robson_Donato_Conceicao.jpg,https://boxrec.com/wiki/index.php?title=Fight:3040240,super feather,5.0,21,129,47.06%,2016-2023,2016-11-05,,,772975,Robson Donato Conceicao,male,Nino,35,Brazil,orthodox,5′ 10½″   /   179cm,70″   /   178cm,"Salvador, Bahia, Brazil","Salvador, Bahia, Brazil",17,2,1
George Kambosos Jr,https://boxrec.com/images/thumb/d/dc/646781.jpeg/200px-646781.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3117208,light,5.0,23,166,47.62%,2013-2023,2013-05-18,,IBO World Light,646781,George Kambosos Jr,male,Ferocious,30,Australia,orthodox,5′ 9″   /   175cm,68″   /   173cm,"Sydney, New South Wales, Australia","Sydney, New South Wales, Australia",21,2,0
Angel Ayala Lardizabal,https://boxrec.com/images/thumb/f/f1/871081.jpeg/200px-871081.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3049932,fly,5.0,17,99,41.18%,2019-2023,2019-03-07,,,871081,,male,,23,Mexico,orthodox,,,"Mexico City, Distrito Federal, Mexico","Texcoco, México, Mexico",17,0,0
Souleymane Cissokho,https://boxrec.com/images/thumb/0/01/784147.jpg/200px-784147.jpg,https://boxrec.com/wiki/index.php?title=Fight:3037576,welter,5.0,17,117,52.94%,2017-2023,2017-01-21,,,784147,Souleymane Diop Cissokho,male,,32,France,orthodox,5′ 10½″   /   179cm,70½″   /   179cm,"Paris, France","Dakar, Senegal",17,0,0
Carlos Canizales,https://boxrec.com/images/thumb/2/22/Carlos_Antonio_Canizales_Civira.jpg/200px-Carlos_Antonio_Canizales_Civira.jpg,https://boxrec.com/wiki/index.php?title=Fight:3091538,light fly,5.0,29,157,73.08%,2014-2024,2014-07-04,,,692641,Carlos Antonio Canizales Civira,male,CCC,30,Venezuela,orthodox,5′ 3″   /   160cm,64½″   /   164cm,"Caracas, Venezuela","Caracas, Venezuela",26,2,1
Michel Rivera,https://boxrec.com/images/thumb/c/ce/746592.jpeg/200px-746592.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3061659,super light,5.0,26,164,56%,2016-2023,2016-03-19,,,752024,Michel Rivera Medina,male,La Zarza Ali,25,Dominican Republic,orthodox,5′ 9″   /   175cm,71″   /   180cm,"Miami, Florida, USA","Santo Domingo, Dominican Republic",25,1,0
Zaur Abdullaev,https://boxrec.com/images/thumb/4/46/Zaur_Abdullaev.jpg/200px-Zaur_Abdullaev.jpg,https://boxrec.com/wiki/index.php?title=Fight:3106883,light,5.0,19,132,61.11%,2017-2023,2017-03-04,,,790678,Заур Магомедалиевич Абдуллаев,male,,29,Russia,orthodox,5′ 9″   /   175cm,,"Yerevan, Armenia","Dydymkin, Russia",18,1,0
Joseph Parker,https://boxrec.com/images/thumb/2/2a/Josephparker12.jpg/200px-Josephparker12.jpg,https://boxrec.com/wiki/index.php?title=Fight:3108621,heavy,5.0,37,238,67.65%,2012-2023,2012-07-05,,,613846,Joseph Dennis Parker,male,Lupesoliai La'auliolemalietoa,32,New Zealand,orthodox,6′ 4″   /   193cm,76″   /   193cm,"Morecambe, Lancashire, United Kingdom","South Auckland, New Zealand",34,3,0
Josh Warrington,https://boxrec.com/images/thumb/9/9a/JoshWarrington2.jpg/200px-JoshWarrington2.jpg,https://boxrec.com/wiki/index.php?title=Fight:3013649,feather,5.0,35,268,25.81%,2009-2023,2009-10-31,,,512777,,male,'The Leeds Warrior',33,United Kingdom,orthodox,5′ 7″   /   170cm,67″   /   170cm,"Leeds, Yorkshire, United Kingdom","Leeds, Yorkshire, United Kingdom",31,3,1
